handover_id,shift_id,operator_id,machine_id,completed_tasks,remaining_tasks,machine_status,safety_events,unusual_behaviour,next_task
H0075,S0075,OP007,EXC001,3,0,MONITOR,3,PROXIMITY_APPROACH,DIG
H0076,S0076,OP005,EXC001,5,2,NORMAL,3,NONE,DIG
H0077,S0077,OP004,EXC002,4,2,NORMAL,0,ABNORMAL_CYCLE_TIME,DIG
H0078,S0078,OP004,DOZ001,2,2,MONITOR,0,NONE,LOAD
H0079,S0079,OP001,EXC001,1,1,NORMAL,3,PROXIMITY_APPROACH,GRADE
H0080,S0080,OP007,LOD001,4,2,NORMAL,3,NONE,GRADE
H0081,S0081,OP006,EXC002,1,1,MONITOR,3,NONE,GRADE
H0082,S0082,OP004,LOD001,4,1,MAINTENANCE_DUE,2,NONE,GRADE
H0083,S0083,OP005,EXC001,3,1,MAINTENANCE_DUE,3,EXCESS_IDLE,DIG
H0084,S0084,OP006,EXC002,3,1,MAINTENANCE_DUE,0,PROXIMITY_APPROACH,GRADE
H0085,S0085,OP008,DOZ001,4,3,NORMAL,1,PROXIMITY_APPROACH,DIG
H0086,S0086,OP004,LOD001,2,2,MONITOR,1,NONE,GRADE
H0087,S0087,OP005,DOZ001,2,0,MONITOR,2,PROXIMITY_APPROACH,LOAD
H0088,S0088,OP008,EXC002,4,1,MONITOR,3,NONE,LOAD
H0089,S0089,OP007,DOZ001,4,3,MAINTENANCE_DUE,1,NONE,LIFT
H0090,S0090,OP004,LOD001,4,0,MONITOR,0,ABNORMAL_CYCLE_TIME,LOAD
H0091,S0091,OP004,EXC001,1,1,MONITOR,0,EXCESS_IDLE,LOAD
H0092,S0092,OP006,DOZ001,1,3,NORMAL,0,EXCESS_IDLE,LIFT
H0093,S0093,OP007,EXC002,1,3,MONITOR,3,PROXIMITY_APPROACH,GRADE
H0094,S0094,OP006,EXC002,3,2,MAINTENANCE_DUE,0,ABNORMAL_CYCLE_TIME,LIFT
H0095,S0095,OP008,EXC002,2,2,NORMAL,0,PROXIMITY_APPROACH,LOAD
H0096,S0096,OP005,DOZ001,2,2,NORMAL,1,PROXIMITY_APPROACH,DIG
H0097,S0097,OP007,EXC001,4,0,MONITOR,0,EXCESS_IDLE,DIG
H0098,S0098,OP002,LOD001,3,3,NORMAL,1,NONE,LIFT
H0099,S0099,OP007,LOD001,4,3,MAINTENANCE_DUE,3,ABNORMAL_CYCLE_TIME,LOAD
H0100,S0100,OP005,EXC001,3,2,NORMAL,3,NONE,LOAD
H0101,S0101,OP005,DOZ001,1,0,MONITOR,0,ABNORMAL_CYCLE_TIME,LOAD
H0102,S0102,OP001,EXC001,4,0,MONITOR,1,ABNORMAL_CYCLE_TIME,DIG
H0103,S0103,OP008,DOZ001,5,3,MAINTENANCE_DUE,3,ABNORMAL_CYCLE_TIME,LOAD
H0104,S0104,OP004,LOD001,1,1,NORMAL,2,PROXIMITY_APPROACH,LIFT
H0105,S0105,OP003,DOZ001,3,3,MAINTENANCE_DUE,1,PROXIMITY_APPROACH,LIFT
H0106,S0106,OP007,EXC002,3,3,NORMAL,0,PROXIMITY_APPROACH,LIFT
H0107,S0107,OP004,EXC002,3,2,NORMAL,2,NONE,GRADE
H0108,S0108,OP005,LOD001,5,3,MAINTENANCE_DUE,2,NONE,LIFT
H0109,S0109,OP006,EXC001,4,2,MAINTENANCE_DUE,2,EXCESS_IDLE,DIG
H0110,S0110,OP002,LOD001,2,3,NORMAL,2,ABNORMAL_CYCLE_TIME,LOAD
H0111,S0111,OP006,DOZ001,5,0,MAINTENANCE_DUE,0,PROXIMITY_APPROACH,GRADE
H0112,S0112,OP008,EXC001,2,0,NORMAL,2,PROXIMITY_APPROACH,DIG
H0113,S0113,OP008,DOZ001,4,2,MAINTENANCE_DUE,3,NONE,LOAD
H0114,S0114,OP001,EXC001,2,3,MONITOR,1,EXCESS_IDLE,LIFT
H0115,S0115,OP002,EXC002,2,2,MONITOR,0,NONE,DIG
H0116,S0116,OP008,DOZ001,1,2,MAINTENANCE_DUE,0,EXCESS_IDLE,GRADE
H0117,S0117,OP003,DOZ001,1,2,NORMAL,2,EXCESS_IDLE,GRADE
H0118,S0118,OP001,EXC002,3,0,NORMAL,3,NONE,GRADE
H0119,S0119,OP005,LOD001,5,1,NORMAL,0,NONE,LOAD
H0120,S0120,OP001,DOZ001,5,0,MONITOR,0,NONE,LOAD
H0121,S0121,OP006,DOZ001,1,1,NORMAL,2,NONE,LOAD
H0122,S0122,OP007,EXC001,1,0,MAINTENANCE_DUE,0,ABNORMAL_CYCLE_TIME,GRADE
H0123,S0123,OP001,DOZ001,2,2,MAINTENANCE_DUE,3,NONE,LIFT
H0124,S0124,OP003,LOD001,1,1,NORMAL,0,PROXIMITY_APPROACH,GRADE
H0125,S0125,OP006,EXC001,5,2,MONITOR,0,EXCESS_IDLE,DIG
H0126,S0126,OP002,EXC001,2,2,MONITOR,3,PROXIMITY_APPROACH,LOAD
H0127,S0127,OP004,DOZ001,2,0,NORMAL,2,EXCESS_IDLE,GRADE
H0128,S0128,OP004,LOD001,2,0,MONITOR,2,ABNORMAL_CYCLE_TIME,LOAD
H0129,S0129,OP004,DOZ001,5,0,NORMAL,3,NONE,LIFT
H0130,S0130,OP003,DOZ001,1,1,NORMAL,0,ABNORMAL_CYCLE_TIME,GRADE
H0131,S0131,OP001,DOZ001,3,3,MAINTENANCE_DUE,2,PROXIMITY_APPROACH,DIG
H0132,S0132,OP008,EXC002,4,3,MONITOR,3,NONE,LIFT
H0133,S0133,OP002,EXC002,1,2,MAINTENANCE_DUE,2,NONE,LOAD
H0134,S0134,OP005,EXC002,2,3,MONITOR,0,PROXIMITY_APPROACH,LOAD
H0135,S0135,OP005,LOD001,3,0,MAINTENANCE_DUE,3,EXCESS_IDLE,LOAD
H0136,S0136,OP003,EXC002,2,1,NORMAL,1,NONE,GRADE
H0137,S0137,OP004,EXC002,2,2,MAINTENANCE_DUE,3,PROXIMITY_APPROACH,LOAD
H0138,S0138,OP003,LOD001,1,1,MONITOR,0,EXCESS_IDLE,LOAD
H0139,S0139,OP008,EXC002,3,3,MONITOR,2,PROXIMITY_APPROACH,DIG
H0140,S0140,OP005,LOD001,5,0,MAINTENANCE_DUE,2,EXCESS_IDLE,LIFT
H0141,S0141,OP005,LOD001,3,0,MAINTENANCE_DUE,1,ABNORMAL_CYCLE_TIME,LOAD
H0142,S0142,OP001,DOZ001,3,1,MAINTENANCE_DUE,3,ABNORMAL_CYCLE_TIME,DIG
H0143,S0143,OP001,DOZ001,5,1,NORMAL,3,PROXIMITY_APPROACH,LOAD
H0144,S0144,OP001,LOD001,4,1,NORMAL,2,PROXIMITY_APPROACH,LIFT
H0145,S0145,OP008,EXC002,4,3,MAINTENANCE_DUE,1,EXCESS_IDLE,LIFT
H0146,S0146,OP007,EXC002,4,1,NORMAL,1,PROXIMITY_APPROACH,LOAD
H0147,S0147,OP004,DOZ001,2,2,NORMAL,1,ABNORMAL_CYCLE_TIME,LOAD
H0148,S0148,OP004,LOD001,4,0,NORMAL,1,NONE,DIG
H0149,S0149,OP003,LOD001,4,3,NORMAL,0,PROXIMITY_APPROACH,LIFT
H0150,S0150,OP007,EXC001,5,2,MONITOR,0,EXCESS_IDLE,GRADE
H0151,S0151,OP001,LOD001,5,2,MONITOR,3,EXCESS_IDLE,LOAD
H0152,S0152,OP007,EXC002,2,2,NORMAL,2,EXCESS_IDLE,DIG
H0153,S0153,OP005,DOZ001,1,1,NORMAL,1,NONE,GRADE
H0154,S0154,OP003,LOD001,4,3,MAINTENANCE_DUE,0,PROXIMITY_APPROACH,GRADE
H0155,S0155,OP006,EXC002,4,2,MONITOR,3,EXCESS_IDLE,DIG
H0156,S0156,OP002,DOZ001,1,0,MAINTENANCE_DUE,0,ABNORMAL_CYCLE_TIME,DIG
H0157,S0157,OP005,DOZ001,5,1,MAINTENANCE_DUE,2,EXCESS_IDLE,GRADE
H0158,S0158,OP003,DOZ001,5,1,MONITOR,0,NONE,GRADE
H0159,S0159,OP006,EXC001,4,3,MAINTENANCE_DUE,2,EXCESS_IDLE,LIFT
H0160,S0160,OP001,DOZ001,3,1,NORMAL,2,EXCESS_IDLE,LIFT
H0161,S0161,OP004,DOZ001,5,1,NORMAL,2,EXCESS_IDLE,LOAD
H0162,S0162,OP008,LOD001,4,3,MONITOR,1,PROXIMITY_APPROACH,GRADE
H0163,S0163,OP003,LOD001,3,2,MONITOR,2,NONE,LIFT
H0164,S0164,OP006,LOD001,1,2,NORMAL,0,NONE,LOAD
H0165,S0165,OP002,EXC002,5,2,MONITOR,0,EXCESS_IDLE,GRADE
H0166,S0166,OP003,EXC002,2,1,MAINTENANCE_DUE,3,PROXIMITY_APPROACH,LOAD
H0167,S0167,OP003,EXC001,2,0,MAINTENANCE_DUE,2,PROXIMITY_APPROACH,LOAD
H0168,S0168,OP001,EXC001,5,1,MONITOR,2,PROXIMITY_APPROACH,GRADE
H0169,S0169,OP004,DOZ001,1,3,MAINTENANCE_DUE,1,EXCESS_IDLE,LOAD
H0170,S0170,OP003,LOD001,2,1,MAINTENANCE_DUE,0,EXCESS_IDLE,LOAD
H0171,S0171,OP004,EXC001,3,3,NORMAL,3,PROXIMITY_APPROACH,LOAD
H0172,S0172,OP005,LOD001,4,3,MAINTENANCE_DUE,3,NONE,GRADE
H0173,S0173,OP001,EXC002,2,3,MAINTENANCE_DUE,0,EXCESS_IDLE,LOAD
H0174,S0174,OP001,DOZ001,5,2,MAINTENANCE_DUE,2,EXCESS_IDLE,DIG
H0175,S0175,OP008,DOZ001,1,2,MAINTENANCE_DUE,3,EXCESS_IDLE,LIFT
H0176,S0176,OP005,DOZ001,3,0,NORMAL,2,PROXIMITY_APPROACH,LIFT
H0177,S0177,OP003,DOZ001,4,3,MAINTENANCE_DUE,3,EXCESS_IDLE,GRADE
H0178,S0178,OP008,LOD001,2,3,MONITOR,2,PROXIMITY_APPROACH,GRADE
H0179,S0179,OP003,EXC002,5,0,MAINTENANCE_DUE,3,EXCESS_IDLE,LIFT
H0180,S0180,OP003,EXC002,1,0,MAINTENANCE_DUE,0,NONE,DIG
