anomaly_id,timestamp,task_id,machine_id,operator_id,anomaly_type,severity,observed_value,baseline_value,reason,recommended_action
A00027,2026-01-10 07:02:14,T00826,EXC002,OP006,EXCESS_IDLE,ACTION,4.18,2.217,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00028,2026-01-28 15:30:33,T00214,EXC001,OP003,SLOW_REACTION,CRITICAL,384.9,386.695,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00029,2026-01-24 14:29:03,T00838,DOZ001,OP004,HARSH_SWING,ATTENTION,16.7,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00030,2026-01-05 10:23:06,T00135,EXC002,OP002,SLOW_REACTION,ACTION,535.6,456.101,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00031,2026-01-10 16:05:22,T00304,DOZ001,OP004,RAPID_CONTROL_CORRECTIONS,ACTION,3.25,2.37,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00032,2026-01-30 15:41:09,T00676,EXC002,OP005,RAPID_CONTROL_CORRECTIONS,ATTENTION,4.86,4.673,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00033,2026-01-16 12:21:51,T00878,EXC002,OP003,ABNORMAL_CYCLE_TIME,ATTENTION,63.86,69.92,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00034,2026-01-18 07:37:35,T00136,DOZ001,OP005,BELT_VIOLATION,ATTENTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00035,2026-01-11 16:36:03,T00603,LOD001,OP006,UNSTABLE_GROUND,ATTENTION,0.77,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00036,2026-01-25 13:47:56,T00481,DOZ001,OP002,HARSH_SWING,ATTENTION,10.2,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00037,2026-01-20 16:25:27,T00738,DOZ001,OP007,HIGH_FUEL_PER_CYCLE,CRITICAL,6.266,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00038,2026-01-08 15:01:20,T00640,LOD001,OP006,BELT_VIOLATION,ACTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00039,2026-01-30 13:10:54,T00606,EXC001,OP002,RAPID_CONTROL_CORRECTIONS,ATTENTION,5.89,3.751,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00040,2026-01-03 10:24:21,T00086,DOZ001,OP001,SLOW_REACTION,ATTENTION,449.1,420.059,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00041,2026-01-25 17:00:47,T00015,EXC001,OP005,OVERLOAD,ATTENTION,72.23,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00042,2026-01-22 10:19:55,T00810,EXC001,OP008,OVERLOAD,ACTION,54.69,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00043,2026-01-06 11:42:41,T00341,EXC002,OP002,SLOW_REACTION,CRITICAL,531.8,456.101,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00044,2026-01-04 15:55:04,T00077,EXC001,OP005,UNEXPECTED_MOVEMENT,ACTION,1.69,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00045,2026-01-23 11:48:54,T00906,EXC002,OP008,HIGH_FUEL_PER_CYCLE,ACTION,12.6,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00046,2026-01-23 13:57:05,T00993,DOZ001,OP008,ABNORMAL_CYCLE_TIME,CRITICAL,66.93,60.4,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00047,2026-01-22 16:45:14,T00021,EXC002,OP007,UNSTABLE_GROUND,ACTION,0.819,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00048,2026-01-06 08:32:58,T00345,DOZ001,OP008,HIGH_FUEL_PER_CYCLE,ACTION,5.68,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00049,2026-01-03 08:37:45,T00193,EXC001,OP005,UNSTABLE_GROUND,ACTION,0.764,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00050,2026-01-20 10:55:56,T00637,EXC002,OP003,PROXIMITY_APPROACH,ACTION,15.28,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00051,2026-01-10 17:43:12,T00286,DOZ001,OP004,SLOW_REACTION,ACTION,478.3,470.663,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00052,2026-01-30 11:50:38,T00261,EXC002,OP002,BELT_VIOLATION,ACTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00053,2026-01-24 17:30:51,T00016,EXC002,OP001,HARSH_SWING,ATTENTION,124.3,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00054,2026-01-11 12:23:32,T00710,EXC001,OP004,OVERLOAD,ACTION,34.33,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00055,2026-01-19 09:54:23,T00527,EXC002,OP002,EXCESS_IDLE,ATTENTION,3.79,8.356,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00056,2026-01-28 10:01:38,T00192,EXC001,OP003,HARSH_SWING,ATTENTION,63.9,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00057,2026-01-12 10:50:35,T00950,EXC002,OP005,OVERLOAD,ATTENTION,69.18,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00058,2026-01-01 16:26:18,T00533,EXC001,OP001,RAPID_CONTROL_CORRECTIONS,ACTION,5.07,2.69,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00059,2026-01-23 17:08:24,T00682,DOZ001,OP008,ABNORMAL_CYCLE_TIME,ATTENTION,61.16,59.7,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00060,2026-01-10 13:59:08,T00656,EXC002,OP001,HIGH_FUEL_PER_CYCLE,ATTENTION,5.268,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00061,2026-01-12 08:46:28,T00802,DOZ001,OP007,EXCESS_IDLE,CRITICAL,0.0,2.688,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00062,2026-01-05 11:40:41,T00829,EXC002,OP006,OVERLOAD,ACTION,82.61,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00063,2026-01-26 14:21:28,T00876,DOZ001,OP006,SLOW_REACTION,ACTION,500.5,433.957,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00064,2026-01-28 08:34:55,T00484,EXC001,OP001,ABNORMAL_CYCLE_TIME,ACTION,30.93,30.07,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00065,2026-01-23 09:34:23,T00123,EXC002,OP003,BELT_VIOLATION,ACTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00066,2026-01-27 08:11:28,T00851,LOD001,OP006,HARSH_SWING,CRITICAL,1.1,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00067,2026-01-08 11:53:53,T00117,EXC001,OP007,UNSTABLE_GROUND,ATTENTION,0.658,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00068,2026-01-08 15:59:12,T00681,LOD001,OP004,PROXIMITY_APPROACH,CRITICAL,20.46,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00069,2026-01-08 07:14:56,T00382,EXC001,OP001,HARSH_SWING,ACTION,74.1,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00070,2026-01-24 18:46:23,T00959,EXC001,OP003,HIGH_ENGINE_IDLE,ACTION,9.88,5.841,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00071,2026-01-06 15:24:10,T00419,EXC002,OP001,PROXIMITY_APPROACH,ATTENTION,14.47,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00072,2026-01-02 13:00:52,T00919,EXC002,OP003,RAPID_CONTROL_CORRECTIONS,ATTENTION,4.86,2.774,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00073,2026-01-30 12:05:37,T00261,EXC002,OP002,SLOW_REACTION,ATTENTION,684.4,456.101,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00074,2026-01-22 11:13:13,T00211,EXC001,OP006,OVERLOAD,ATTENTION,70.32,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00075,2026-01-07 07:30:18,T00823,DOZ001,OP005,EXCESS_IDLE,ATTENTION,9.07,7.605,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00076,2026-01-14 15:15:03,T00052,DOZ001,OP006,RAPID_CONTROL_CORRECTIONS,ATTENTION,6.36,3.319,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00077,2026-01-19 17:25:04,T00564,DOZ001,OP006,HARSH_SWING,ACTION,8.0,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00078,2026-01-20 11:46:28,T00588,EXC002,OP006,RAPID_CONTROL_CORRECTIONS,ACTION,6.65,3.319,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00079,2026-01-22 16:08:31,T00312,DOZ001,OP003,RAPID_CONTROL_CORRECTIONS,ATTENTION,3.36,2.774,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00080,2026-01-29 06:14:38,T00814,LOD001,OP006,ABNORMAL_CYCLE_TIME,ATTENTION,45.67,43.41,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00081,2026-01-06 06:48:30,T00868,EXC002,OP006,UNSTABLE_GROUND,ACTION,0.778,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00082,2026-01-26 16:35:35,T00396,EXC001,OP003,BELT_VIOLATION,ATTENTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00083,2026-01-12 11:49:59,T00485,DOZ001,OP002,HIGH_FUEL_PER_CYCLE,CRITICAL,6.333,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00084,2026-01-11 08:14:39,T00678,DOZ001,OP003,ABNORMAL_CYCLE_TIME,ATTENTION,65.74,65.25,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00085,2026-01-19 15:03:00,T00600,EXC002,OP004,ABNORMAL_CYCLE_TIME,ATTENTION,36.13,38.73,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00086,2026-01-27 12:40:16,T00068,DOZ001,OP004,HARSH_SWING,ATTENTION,3.1,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00087,2026-01-22 15:47:38,T00504,EXC001,OP007,OVERLOAD,ATTENTION,76.66,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00088,2026-01-18 17:59:38,T00116,DOZ001,OP006,PROXIMITY_APPROACH,ATTENTION,35.3,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00089,2026-01-20 16:25:29,T00767,EXC001,OP001,UNEXPECTED_MOVEMENT,ATTENTION,1.69,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00090,2026-01-24 17:16:50,T00418,EXC002,OP005,ABNORMAL_CYCLE_TIME,CRITICAL,84.76,78.07,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00091,2026-01-18 07:08:12,T00347,EXC002,OP006,HARSH_SWING,ACTION,143.3,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00092,2026-01-11 13:03:15,T00710,EXC001,OP004,RAPID_CONTROL_CORRECTIONS,ATTENTION,4.4,2.37,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00093,2026-01-17 16:45:52,T00762,DOZ001,OP006,ABNORMAL_CYCLE_TIME,ATTENTION,68.7,64.98,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00094,2026-01-04 08:02:26,T00399,EXC001,OP008,RAPID_CONTROL_CORRECTIONS,ACTION,5.09,2.36,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00095,2026-01-17 16:36:27,T00762,DOZ001,OP006,BELT_VIOLATION,ATTENTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00096,2026-01-03 16:02:32,T00744,EXC001,OP001,PROXIMITY_APPROACH,ACTION,25.96,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00097,2026-01-01 06:30:45,T00480,DOZ001,OP004,OVERLOAD,ATTENTION,60.37,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00098,2026-01-19 09:44:47,T00295,LOD001,OP007,HARSH_SWING,ACTION,7.7,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00099,2026-01-21 10:43:55,T00939,DOZ001,OP008,PROXIMITY_APPROACH,ATTENTION,15.26,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00100,2026-01-06 14:17:06,T00346,LOD001,OP005,SLOW_REACTION,CRITICAL,434.5,416.965,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00101,2026-01-16 07:23:15,T00754,LOD001,OP005,HIGH_ENGINE_IDLE,ACTION,10.0,7.605,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00102,2026-01-18 16:25:34,T00116,DOZ001,OP006,UNSTABLE_GROUND,ATTENTION,0.675,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00103,2026-01-19 17:46:48,T00712,DOZ001,OP005,HIGH_ENGINE_IDLE,CRITICAL,5.41,7.605,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00104,2026-01-29 10:57:46,T00817,EXC002,OP006,OVERLOAD,ACTION,61.23,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00105,2026-01-16 14:18:36,T00611,DOZ001,OP006,PROXIMITY_APPROACH,ATTENTION,14.2,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00106,2026-01-24 12:37:30,T00806,DOZ001,OP001,HIGH_ENGINE_IDLE,CRITICAL,1.73,5.826,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00107,2026-01-25 14:58:12,T00095,EXC002,OP004,BELT_VIOLATION,ACTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00108,2026-01-20 11:41:40,T00588,EXC002,OP006,BELT_VIOLATION,ACTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00109,2026-01-24 16:20:54,T00654,EXC002,OP001,OVERLOAD,ACTION,77.48,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00110,2026-01-12 10:11:41,T00950,EXC002,OP005,BELT_VIOLATION,ACTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00111,2026-01-02 08:38:23,T00499,LOD001,OP002,UNSTABLE_GROUND,ATTENTION,0.788,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00112,2026-01-04 11:49:04,T00996,LOD001,OP003,HARSH_SWING,ACTION,17.0,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00113,2026-01-14 07:35:44,T00108,DOZ001,OP008,SLOW_REACTION,ATTENTION,629.3,551.875,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00114,2026-01-04 15:26:44,T00077,EXC001,OP005,HARSH_SWING,ATTENTION,24.0,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00115,2026-01-26 16:22:28,T00496,EXC001,OP002,ABNORMAL_CYCLE_TIME,CRITICAL,41.33,39.83,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00116,2026-01-27 15:08:36,T00048,DOZ001,OP004,HIGH_FUEL_PER_CYCLE,ACTION,7.017,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00117,2026-01-07 14:21:51,T00255,LOD001,OP004,PROXIMITY_APPROACH,ATTENTION,25.43,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00118,2026-01-06 13:50:36,T00038,EXC002,OP005,HARSH_SWING,ATTENTION,65.6,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00119,2026-01-15 17:10:16,T00391,EXC002,OP006,RAPID_CONTROL_CORRECTIONS,ACTION,5.36,3.319,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00120,2026-01-07 10:14:40,T00027,LOD001,OP004,HIGH_FUEL_PER_CYCLE,ATTENTION,6.12,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00121,2026-01-23 11:10:15,T00351,LOD001,OP006,HARSH_SWING,ATTENTION,13.8,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00122,2026-01-20 14:19:09,T00228,LOD001,OP005,HIGH_ENGINE_IDLE,ACTION,12.86,7.605,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00123,2026-01-01 10:07:28,T00299,EXC001,OP003,EXCESS_IDLE,ACTION,7.54,5.841,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00124,2026-01-23 18:19:32,T00252,LOD001,OP004,HIGH_ENGINE_IDLE,ACTION,10.15,5.836,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00125,2026-01-21 12:41:23,T00550,LOD001,OP007,HIGH_FUEL_PER_CYCLE,CRITICAL,6.562,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00126,2026-01-09 13:36:43,T00065,LOD001,OP004,EXCESS_IDLE,ACTION,2.07,5.836,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00127,2026-01-13 16:22:27,T00768,EXC001,OP003,UNEXPECTED_MOVEMENT,ATTENTION,2.43,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00128,2026-01-24 18:33:12,T00764,DOZ001,OP004,RAPID_CONTROL_CORRECTIONS,ACTION,3.32,2.37,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00129,2026-01-08 11:49:52,T00117,EXC001,OP007,HARSH_SWING,ACTION,96.2,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00130,2026-01-25 09:06:08,T00104,EXC002,OP001,BELT_VIOLATION,ACTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00131,2026-01-08 11:43:45,T00461,EXC002,OP002,OVERLOAD,ACTION,76.33,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00132,2026-01-01 09:11:53,T00430,DOZ001,OP002,ABNORMAL_CYCLE_TIME,ATTENTION,55.49,52.22,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00133,2026-01-04 12:42:21,T00208,EXC002,OP005,ABNORMAL_CYCLE_TIME,ATTENTION,31.82,30.66,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00134,2026-01-02 10:51:38,T00848,EXC002,OP003,ABNORMAL_CYCLE_TIME,ATTENTION,87.3,87.63,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00135,2026-01-27 15:42:54,T00642,DOZ001,OP001,UNEXPECTED_MOVEMENT,ACTION,3.9,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00136,2026-01-08 15:21:01,T00902,LOD001,OP002,UNSTABLE_GROUND,ACTION,0.838,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00137,2026-01-17 15:05:57,T00687,DOZ001,OP004,EXCESS_IDLE,ACTION,6.28,5.836,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00138,2026-01-16 17:08:50,T00562,EXC001,OP002,ABNORMAL_CYCLE_TIME,ATTENTION,37.17,36.79,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00139,2026-01-16 16:46:35,T00258,EXC002,OP008,RAPID_CONTROL_CORRECTIONS,ATTENTION,4.93,2.36,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00140,2026-01-04 17:25:06,T00152,LOD001,OP007,UNEXPECTED_MOVEMENT,ACTION,1.48,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00141,2026-01-21 10:47:04,T00626,EXC002,OP008,UNEXPECTED_MOVEMENT,ACTION,2.17,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00142,2026-01-08 17:59:01,T00800,LOD001,OP002,OVERLOAD,ACTION,74.48,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00143,2026-01-15 16:12:44,T00149,EXC001,OP005,SLOW_REACTION,ATTENTION,439.9,416.965,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00144,2026-01-19 08:07:28,T00727,EXC001,OP008,HIGH_FUEL_PER_CYCLE,ACTION,0.0,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00145,2026-01-05 09:27:06,T00094,DOZ001,OP001,UNSTABLE_GROUND,ATTENTION,0.71,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00146,2026-01-04 15:10:35,T00861,EXC001,OP002,PROXIMITY_APPROACH,ACTION,10.13,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00147,2026-01-28 11:55:14,T00005,DOZ001,OP006,PROXIMITY_APPROACH,ATTENTION,28.77,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00148,2026-01-21 13:24:41,T00772,EXC002,OP003,ABNORMAL_CYCLE_TIME,ACTION,108.97,104.87,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
