task_id,task_type,machine_id,machine_type,operator_id,scheduled_start,scheduled_end,start_time,end_time,actual_duration_min,planned_quantity,quantity_done,progress_pct,cycle_time_sec,cycles_completed,ground_softness,rain,slope_deg,avg_load_pct,is_night,idle_min,fuel_used_l
T00036,LIFT,EXC002,EXCAVATOR,OP008,2026-01-11 07:00:00,2026-01-11 08:40:00,2026-01-11 07:02:26,2026-01-11 07:36:54,34.46,137,123,89.8,102.72,15,0.288,0,8.33,81.77,0,9.87,203.51
T00037,DIG,EXC001,EXCAVATOR,OP004,2026-01-17 10:15:00,2026-01-17 11:30:00,2026-01-17 10:02:33,2026-01-17 11:02:17,59.73,437,284,65.0,50.0,51,0.5,1,9.22,76.82,0,15.54,281.17
T00038,LIFT,EXC002,EXCAVATOR,OP005,2026-01-06 13:30:00,2026-01-06 15:10:00,2026-01-06 13:24:09,2026-01-06 13:50:36,26.46,155,155,100.0,65.47,17,0.181,0,0.83,76.28,0,7.91,149.32
T00039,LOAD,LOD001,LOADER,OP003,2026-01-09 07:00:00,2026-01-09 08:20:00,2026-01-09 07:01:11,2026-01-09 07:35:19,34.13,230,218,94.8,47.23,27,0.481,1,5.26,71.5,0,12.41,163.52
T00040,LOAD,LOD001,LOADER,OP004,2026-01-23 11:15:00,2026-01-23 12:35:00,2026-01-23 11:18:12,2026-01-23 11:43:41,25.48,215,194,90.2,41.84,27,0.34,0,2.37,74.8,0,8.34,135.21
T00041,LOAD,LOD001,LOADER,OP005,2026-01-29 06:00:00,2026-01-29 07:20:00,2026-01-29 06:02:02,2026-01-29 06:41:21,39.32,202,192,95.0,60.0,26,0.945,1,2.81,79.6,1,15.4,222.1
T00042,LOAD,LOD001,LOADER,OP001,2026-01-11 08:30:00,2026-01-11 09:50:00,2026-01-11 08:54:54,2026-01-11 09:08:35,13.69,81,69,85.2,40.09,10,0.33,0,4.06,75.38,0,6.44,52.53
T00043,GRADE,DOZ001,DOZER,OP002,2026-01-03 17:15:00,2026-01-03 19:15:00,2026-01-03 17:25:42,2026-01-03 17:57:14,31.54,223,145,65.0,53.12,26,0.505,0,2.61,37.7,0,9.94,123.55
T00044,LIFT,EXC002,EXCAVATOR,OP003,2026-01-02 10:30:00,2026-01-02 12:10:00,2026-01-02 10:19:43,2026-01-02 10:33:52,14.15,30,16,53.3,96.97,4,0.551,0,7.7,82.33,0,8.55,59.44
T00045,LIFT,EXC001,EXCAVATOR,OP002,2026-01-12 14:45:00,2026-01-12 16:25:00,2026-01-12 14:25:24,2026-01-12 14:49:35,24.18,59,32,54.2,80.44,7,0.396,0,8.1,71.55,0,14.35,83.7
T00046,LIFT,EXC001,EXCAVATOR,OP003,2026-01-29 12:00:00,2026-01-29 13:40:00,2026-01-29 12:08:42,2026-01-29 12:35:09,26.45,65,55,84.6,114.25,9,0.633,0,8.69,78.8,0,7.95,144.15
T00047,LOAD,LOD001,LOADER,OP004,2026-01-09 08:00:00,2026-01-09 09:20:00,2026-01-09 08:30:27,2026-01-09 08:51:02,20.58,137,89,65.0,44.6,16,0.376,0,0.74,90.87,0,7.22,99.97
T00048,GRADE,DOZ001,DOZER,OP004,2026-01-27 13:30:00,2026-01-27 15:30:00,2026-01-27 13:26:52,2026-01-27 15:47:22,140.51,775,581,75.0,73.07,99,0.556,1,3.3,68.52,0,16.19,697.69
T00049,LIFT,EXC001,EXCAVATOR,OP001,2026-01-22 09:45:00,2026-01-22 11:25:00,2026-01-22 09:45:00,2026-01-22 10:05:51,20.85,104,104,100.0,79.65,11,0.166,0,3.85,82.96,0,6.25,118.97
T00050,DIG,EXC002,EXCAVATOR,OP006,2026-01-21 14:45:00,2026-01-21 16:00:00,2026-01-21 14:13:05,2026-01-21 14:55:17,42.21,629,629,100.0,31.81,72,0.349,0,4.43,62.26,0,4.03,253.21
T00051,DIG,EXC001,EXCAVATOR,OP005,2026-01-06 15:30:00,2026-01-06 16:45:00,2026-01-06 15:41:13,2026-01-06 16:01:58,20.75,119,119,100.0,31.81,13,0.306,1,4.08,73.28,0,13.86,51.39
T00052,GRADE,DOZ001,DOZER,OP006,2026-01-14 15:00:00,2026-01-14 17:00:00,2026-01-14 15:05:19,2026-01-14 17:11:58,126.65,938,516,55.0,64.79,114,0.709,1,2.46,54.75,0,13.27,725.08
T00053,LIFT,EXC002,EXCAVATOR,OP001,2026-01-23 12:00:00,2026-01-23 13:40:00,2026-01-23 12:14:57,2026-01-23 12:45:36,30.65,153,84,54.9,69.29,17,0.176,0,0.0,93.65,0,10.87,164.33
T00054,LIFT,EXC002,EXCAVATOR,OP007,2026-01-03 16:30:00,2026-01-03 18:10:00,2026-01-03 16:38:04,2026-01-03 17:06:16,28.21,100,90,90.0,87.65,11,0.245,1,4.23,85.72,0,14.14,154.56
T00055,DIG,EXC002,EXCAVATOR,OP005,2026-01-22 12:30:00,2026-01-22 13:45:00,2026-01-22 12:33:04,2026-01-22 13:12:08,39.07,492,418,85.0,28.2,54,0.269,0,2.99,60.22,0,11.97,151.15
T00056,LIFT,EXC001,EXCAVATOR,OP007,2026-01-22 12:15:00,2026-01-22 13:55:00,2026-01-22 11:58:07,2026-01-22 12:26:34,28.45,97,97,100.0,99.23,13,0.617,0,5.93,79.84,0,6.95,175.19
T00057,DIG,EXC002,EXCAVATOR,OP005,2026-01-07 12:30:00,2026-01-07 13:45:00,2026-01-07 12:09:43,2026-01-07 12:55:05,45.37,556,528,95.0,35.29,62,0.329,0,10.33,64.95,0,9.85,220.78
T00058,LIFT,EXC002,EXCAVATOR,OP003,2026-01-22 07:30:00,2026-01-22 09:10:00,2026-01-22 07:27:01,2026-01-22 08:07:26,40.41,151,136,90.1,99.47,18,0.484,0,9.46,83.08,0,10.65,246.04
T00059,LOAD,LOD001,LOADER,OP004,2026-01-22 10:15:00,2026-01-22 11:35:00,2026-01-22 10:20:09,2026-01-22 10:48:05,27.94,246,246,100.0,47.44,26,0.253,0,6.79,78.19,0,7.38,160.16
T00060,DIG,EXC001,EXCAVATOR,OP004,2026-01-16 15:00:00,2026-01-16 16:15:00,2026-01-16 14:53:48,2026-01-16 15:42:17,48.48,546,546,100.0,38.24,61,0.275,0,4.87,72.47,0,9.6,268.75
T00061,LIFT,EXC002,EXCAVATOR,OP008,2026-01-13 09:15:00,2026-01-13 10:55:00,2026-01-13 09:18:12,2026-01-13 09:41:28,23.26,21,12,57.1,103.39,3,0.575,1,8.02,67.05,0,17.97,48.37
T00062,DIG,EXC002,EXCAVATOR,OP004,2026-01-06 17:45:00,2026-01-06 19:00:00,2026-01-06 17:23:53,2026-01-06 17:40:44,16.84,131,124,94.7,37.4,16,0.382,0,4.63,80.23,0,5.99,65.84
T00063,DIG,EXC002,EXCAVATOR,OP003,2026-01-26 13:30:00,2026-01-26 14:45:00,2026-01-26 13:41:48,2026-01-26 14:23:41,41.87,533,480,90.1,29.39,57,0.139,0,1.69,60.32,0,11.22,170.26
T00064,GRADE,DOZ001,DOZER,OP003,2026-01-24 13:45:00,2026-01-24 15:45:00,2026-01-24 13:37:31,2026-01-24 14:34:49,57.31,680,578,85.0,46.84,70,0.132,0,2.64,71.67,0,7.37,348.63
T00065,LOAD,LOD001,LOADER,OP004,2026-01-09 13:00:00,2026-01-09 14:20:00,2026-01-09 13:28:17,2026-01-09 13:53:35,25.31,222,222,100.0,45.81,25,0.263,0,8.48,66.29,0,6.22,140.33
T00066,LOAD,LOD001,LOADER,OP006,2026-01-29 14:00:00,2026-01-29 15:20:00,2026-01-29 13:44:54,2026-01-29 14:01:44,16.83,75,75,100.0,44.27,9,0.555,0,3.41,74.86,0,10.19,49.6
T00067,GRADE,DOZ001,DOZER,OP004,2026-01-03 12:45:00,2026-01-03 14:45:00,2026-01-03 12:47:52,2026-01-03 15:08:26,140.56,827,786,95.0,78.87,100,0.771,1,0.0,51.3,0,19.13,708.48
T00068,GRADE,DOZ001,DOZER,OP004,2026-01-27 12:45:00,2026-01-27 14:45:00,2026-01-27 12:40:16,2026-01-27 13:11:04,30.79,190,124,65.3,61.49,21,0.288,0,5.92,73.82,0,8.41,140.19
T00069,GRADE,DOZ001,DOZER,OP001,2026-01-12 10:45:00,2026-01-12 12:45:00,2026-01-12 10:51:27,2026-01-12 12:33:36,102.15,1008,958,95.0,48.96,108,0.215,0,4.57,60.9,0,10.83,525.67
T00070,LIFT,EXC002,EXCAVATOR,OP004,2026-01-09 12:45:00,2026-01-09 14:25:00,2026-01-09 12:56:34,2026-01-09 13:05:29,8.92,27,27,100.0,88.28,3,0.271,0,5.02,71.54,0,4.51,34.28
T00071,GRADE,DOZ001,DOZER,OP008,2026-01-30 08:00:00,2026-01-30 10:00:00,2026-01-30 07:42:37,2026-01-30 09:24:45,102.13,956,860,90.0,53.09,100,0.238,0,2.94,63.77,0,6.14,569.98
T00072,DIG,EXC001,EXCAVATOR,OP007,2026-01-05 13:15:00,2026-01-05 14:30:00,2026-01-05 13:34:55,2026-01-05 13:54:52,19.95,131,131,100.0,37.95,14,0.209,1,7.26,55.2,0,11.09,55.39
T00073,LOAD,LOD001,LOADER,OP008,2026-01-11 11:45:00,2026-01-11 13:05:00,2026-01-11 11:50:31,2026-01-11 12:21:38,31.12,111,94,84.7,57.2,14,0.664,1,7.16,68.57,0,16.75,101.37
T00074,GRADE,DOZ001,DOZER,OP002,2026-01-16 06:00:00,2026-01-16 08:00:00,2026-01-16 06:06:46,2026-01-16 07:49:54,103.13,866,866,100.0,62.15,94,0.398,0,6.49,53.24,1,5.75,516.94
T00075,DIG,EXC001,EXCAVATOR,OP001,2026-01-08 09:00:00,2026-01-08 10:15:00,2026-01-08 08:48:23,2026-01-08 09:18:09,29.77,236,236,100.0,36.54,26,0.289,1,11.42,63.04,0,13.93,107.28
T00076,GRADE,DOZ001,DOZER,OP004,2026-01-15 17:30:00,2026-01-15 19:30:00,2026-01-15 17:26:37,2026-01-15 18:59:30,92.89,905,905,100.0,53.35,97,0.143,0,4.44,51.24,0,6.64,464.55
T00077,DIG,EXC001,EXCAVATOR,OP005,2026-01-04 15:00:00,2026-01-04 16:15:00,2026-01-04 15:12:35,2026-01-04 16:09:14,56.64,399,359,90.0,43.48,48,0.608,1,8.42,77.25,0,19.66,245.62
T00078,GRADE,DOZ001,DOZER,OP004,2026-01-03 15:15:00,2026-01-03 17:15:00,2026-01-03 15:08:38,2026-01-03 15:49:11,40.55,358,304,84.9,58.63,37,0.23,0,7.16,64.01,0,7.48,209.69
T00079,LOAD,LOD001,LOADER,OP001,2026-01-12 14:45:00,2026-01-12 16:05:00,2026-01-12 14:56:11,2026-01-12 15:20:15,24.06,209,209,100.0,38.55,23,0.303,0,4.61,73.2,0,9.29,104.28
T00080,LOAD,LOD001,LOADER,OP007,2026-01-27 13:00:00,2026-01-27 14:20:00,2026-01-27 12:53:07,2026-01-27 13:30:18,37.18,150,68,45.3,57.64,18,0.835,1,0.4,56.38,0,17.78,115.68
T00081,GRADE,DOZ001,DOZER,OP007,2026-01-06 17:30:00,2026-01-06 19:30:00,2026-01-06 17:29:41,2026-01-06 19:36:55,127.23,1140,1083,95.0,62.12,129,0.43,0,2.75,63.96,0,5.3,775.91
T00082,LOAD,LOD001,LOADER,OP004,2026-01-27 07:30:00,2026-01-27 08:50:00,2026-01-27 07:43:55,2026-01-27 08:06:51,22.93,155,155,100.0,49.66,18,0.527,0,7.47,60.44,0,8.03,99.89
T00083,GRADE,DOZ001,DOZER,OP006,2026-01-01 13:30:00,2026-01-01 15:30:00,2026-01-01 13:25:48,2026-01-01 14:26:24,60.59,522,496,95.0,54.56,57,0.311,1,4.72,47.17,0,7.49,281.07
T00084,LOAD,LOD001,LOADER,OP006,2026-01-09 15:30:00,2026-01-09 16:50:00,2026-01-09 15:29:33,2026-01-09 15:47:10,17.63,182,182,100.0,38.5,19,0.198,0,7.92,75.63,0,5.44,91.73
T00085,LIFT,EXC001,EXCAVATOR,OP004,2026-01-24 12:45:00,2026-01-24 14:25:00,2026-01-24 12:19:47,2026-01-24 12:44:40,24.88,81,69,85.2,90.48,10,0.434,0,3.97,80.48,0,10.55,131.19
T00086,GRADE,DOZ001,DOZER,OP001,2026-01-03 10:15:00,2026-01-03 12:15:00,2026-01-03 10:19:22,2026-01-03 12:24:00,124.63,978,831,85.0,58.67,111,0.593,0,1.59,53.76,0,10.44,621.27
T00087,LOAD,LOD001,LOADER,OP008,2026-01-18 14:30:00,2026-01-18 15:50:00,2026-01-18 14:29:13,2026-01-18 15:06:59,37.76,148,67,45.3,60.0,19,0.875,1,7.6,83.87,0,18.33,146.37
T00088,LOAD,LOD001,LOADER,OP008,2026-01-09 10:30:00,2026-01-09 11:50:00,2026-01-09 10:46:30,2026-01-09 11:06:28,19.97,99,99,100.0,45.83,12,0.34,0,8.52,55.15,0,10.8,64.91
T00089,LIFT,EXC002,EXCAVATOR,OP002,2026-01-24 14:15:00,2026-01-24 15:55:00,2026-01-24 14:34:42,2026-01-24 14:51:49,17.13,69,69,100.0,73.68,8,0.288,0,0.92,59.56,0,7.3,75.41
T00090,GRADE,DOZ001,DOZER,OP005,2026-01-04 09:30:00,2026-01-04 11:30:00,2026-01-04 09:59:16,2026-01-04 11:22:11,82.91,615,615,100.0,58.37,78,0.798,0,2.59,55.46,0,7.03,453.67
T00091,LOAD,LOD001,LOADER,OP003,2026-01-09 06:00:00,2026-01-09 07:20:00,2026-01-09 05:48:08,2026-01-09 06:13:42,25.56,181,181,100.0,50.04,21,0.468,0,3.79,75.92,1,8.05,127.52
T00092,LIFT,EXC002,EXCAVATOR,OP002,2026-01-28 06:30:00,2026-01-28 08:10:00,2026-01-28 06:32:40,2026-01-28 07:05:42,33.04,140,133,95.0,85.94,17,0.379,0,5.61,69.97,1,11.71,210.95
T00093,LOAD,LOD001,LOADER,OP001,2026-01-09 13:00:00,2026-01-09 14:20:00,2026-01-09 12:56:35,2026-01-09 13:28:45,32.16,250,250,100.0,45.01,29,0.477,0,5.13,85.64,0,10.41,175.82
T00094,GRADE,DOZ001,DOZER,OP001,2026-01-05 08:30:00,2026-01-05 10:30:00,2026-01-05 08:33:20,2026-01-05 09:27:06,53.76,324,146,45.1,64.71,40,0.591,0,9.4,47.56,0,12.58,234.9
T00095,DIG,EXC002,EXCAVATOR,OP004,2026-01-25 14:45:00,2026-01-25 16:00:00,2026-01-25 14:48:46,2026-01-25 15:26:32,37.77,541,298,55.1,34.98,56,0.088,0,3.51,72.54,0,5.16,218.45
T00096,LOAD,LOD001,LOADER,OP005,2026-01-19 15:00:00,2026-01-19 16:20:00,2026-01-19 14:47:49,2026-01-19 15:13:28,25.65,196,88,44.9,43.75,22,0.428,0,9.09,77.69,0,8.18,119.83
T00097,DIG,EXC001,EXCAVATOR,OP004,2026-01-09 16:00:00,2026-01-09 17:15:00,2026-01-09 16:08:20,2026-01-09 16:40:23,32.04,240,240,100.0,46.45,29,0.558,1,5.15,52.44,0,9.59,139.28
T00098,DIG,EXC001,EXCAVATOR,OP001,2026-01-14 13:45:00,2026-01-14 15:00:00,2026-01-14 13:41:19,2026-01-14 14:18:10,36.85,378,378,100.0,40.46,48,0.694,0,4.34,73.39,0,4.48,228.92
T00099,LOAD,LOD001,LOADER,OP008,2026-01-03 16:15:00,2026-01-03 17:35:00,2026-01-03 16:21:02,2026-01-03 16:46:48,25.76,107,80,74.8,60.0,14,0.825,1,4.7,79.8,0,14.45,112.37
T00100,LIFT,EXC002,EXCAVATOR,OP002,2026-01-18 09:15:00,2026-01-18 10:55:00,2026-01-18 09:25:03,2026-01-18 09:46:05,21.03,88,66,75.0,70.63,11,0.525,0,0.77,57.64,0,8.44,99.11
T00101,DIG,EXC001,EXCAVATOR,OP003,2026-01-26 10:30:00,2026-01-26 11:45:00,2026-01-26 10:30:20,2026-01-26 11:12:57,42.63,529,529,100.0,35.57,61,0.35,0,6.09,74.0,0,6.46,238.02
T00102,LOAD,LOD001,LOADER,OP005,2026-01-17 14:45:00,2026-01-17 16:05:00,2026-01-17 14:41:20,2026-01-17 15:05:25,24.1,152,152,100.0,41.12,18,0.35,0,5.05,96.65,0,11.76,100.51
T00103,DIG,EXC002,EXCAVATOR,OP006,2026-01-20 10:00:00,2026-01-20 11:15:00,2026-01-20 09:45:29,2026-01-20 09:57:15,11.78,173,173,100.0,30.59,20,0.247,0,5.92,68.54,0,1.58,67.0
T00104,DIG,EXC002,EXCAVATOR,OP001,2026-01-25 08:45:00,2026-01-25 10:00:00,2026-01-25 08:37:27,2026-01-25 09:25:16,47.8,611,550,90.0,36.19,73,0.554,0,5.67,61.11,0,6.79,278.97
T00105,LOAD,LOD001,LOADER,OP007,2026-01-21 13:00:00,2026-01-21 14:20:00,2026-01-21 13:14:29,2026-01-21 13:33:04,18.59,160,160,100.0,48.75,20,0.42,0,7.16,57.15,0,2.34,109.02
T00106,LOAD,LOD001,LOADER,OP002,2026-01-28 08:30:00,2026-01-28 09:50:00,2026-01-28 08:29:31,2026-01-28 08:58:54,29.4,145,123,84.8,42.08,18,0.527,1,0.0,73.09,0,17.66,94.92
T00107,LOAD,LOD001,LOADER,OP001,2026-01-15 07:30:00,2026-01-15 08:50:00,2026-01-15 07:28:56,2026-01-15 07:47:13,18.28,104,104,100.0,52.48,13,0.622,0,8.62,69.91,0,6.91,90.77
T00108,GRADE,DOZ001,DOZER,OP008,2026-01-14 06:15:00,2026-01-14 08:15:00,2026-01-14 06:17:12,2026-01-14 08:19:56,122.73,890,801,90.0,66.33,103,0.383,0,5.34,60.32,1,6.93,658.56
T00109,GRADE,DOZ001,DOZER,OP001,2026-01-07 10:15:00,2026-01-07 12:15:00,2026-01-07 10:22:17,2026-01-07 11:25:17,63.01,739,702,95.0,49.11,80,0.2,0,3.24,55.64,0,4.81,389.02
T00110,GRADE,DOZ001,DOZER,OP001,2026-01-21 15:15:00,2026-01-21 17:15:00,2026-01-21 15:36:35,2026-01-21 16:42:25,65.83,474,474,100.0,59.62,53,0.568,0,3.8,64.56,0,13.17,339.38
T00111,DIG,EXC002,EXCAVATOR,OP002,2026-01-08 07:45:00,2026-01-08 09:00:00,2026-01-08 07:55:19,2026-01-08 08:18:42,23.38,200,180,90.0,28.89,22,0.374,0,1.57,48.34,0,12.57,66.26
T00112,LIFT,EXC002,EXCAVATOR,OP005,2026-01-17 17:30:00,2026-01-17 19:10:00,2026-01-17 17:28:58,2026-01-17 17:57:55,28.96,126,82,65.1,65.84,14,0.17,0,2.22,84.89,0,11.53,133.68
T00113,GRADE,DOZ001,DOZER,OP008,2026-01-18 08:45:00,2026-01-18 10:45:00,2026-01-18 09:00:28,2026-01-18 10:28:10,87.7,540,297,55.0,71.34,61,0.386,0,5.36,77.02,0,10.63,432.83
T00114,LIFT,EXC001,EXCAVATOR,OP005,2026-01-25 12:30:00,2026-01-25 14:10:00,2026-01-25 12:35:20,2026-01-25 13:09:12,33.87,149,149,100.0,85.27,18,0.465,0,4.45,88.88,0,8.29,212.02
T00115,DIG,EXC002,EXCAVATOR,OP005,2026-01-27 15:45:00,2026-01-27 17:00:00,2026-01-27 15:24:36,2026-01-27 15:50:32,25.93,232,220,94.8,31.39,28,0.591,0,0.44,56.94,0,9.88,85.73
