shift_id,operator_id,machine_id,shift_start,shift_end
S0080,OP008,DOZ001,2026-01-14 18:00:00,2026-01-15 04:00:00
S0081,OP001,EXC001,2026-01-14 06:00:00,2026-01-14 16:00:00
S0082,OP002,EXC002,2026-01-14 18:00:00,2026-01-15 04:00:00
S0083,OP003,LOD001,2026-01-14 06:00:00,2026-01-14 16:00:00
S0084,OP004,DOZ001,2026-01-14 18:00:00,2026-01-15 04:00:00
S0085,OP005,EXC001,2026-01-15 06:00:00,2026-01-15 16:00:00
S0086,OP006,EXC002,2026-01-15 18:00:00,2026-01-16 04:00:00
S0087,OP007,LOD001,2026-01-15 06:00:00,2026-01-15 16:00:00
S0088,OP008,DOZ001,2026-01-15 18:00:00,2026-01-16 04:00:00
S0089,OP001,EXC001,2026-01-15 06:00:00,2026-01-15 16:00:00
S0090,OP002,EXC002,2026-01-15 18:00:00,2026-01-16 04:00:00
S0091,OP003,LOD001,2026-01-16 06:00:00,2026-01-16 16:00:00
S0092,OP004,DOZ001,2026-01-16 18:00:00,2026-01-17 04:00:00
S0093,OP005,EXC001,2026-01-16 06:00:00,2026-01-16 16:00:00
S0094,OP006,EXC002,2026-01-16 18:00:00,2026-01-17 04:00:00
S0095,OP007,LOD001,2026-01-16 06:00:00,2026-01-16 16:00:00
S0096,OP008,DOZ001,2026-01-16 18:00:00,2026-01-17 04:00:00
S0097,OP001,EXC001,2026-01-17 06:00:00,2026-01-17 16:00:00
S0098,OP002,EXC002,2026-01-17 18:00:00,2026-01-18 04:00:00
S0099,OP003,LOD001,2026-01-17 06:00:00,2026-01-17 16:00:00
S0100,OP004,DOZ001,2026-01-17 18:00:00,2026-01-18 04:00:00
S0101,OP005,EXC001,2026-01-17 06:00:00,2026-01-17 16:00:00
S0102,OP006,EXC002,2026-01-17 18:00:00,2026-01-18 04:00:00
S0103,OP007,LOD001,2026-01-18 06:00:00,2026-01-18 16:00:00
S0104,OP008,DOZ001,2026-01-18 18:00:00,2026-01-19 04:00:00
S0105,OP001,EXC001,2026-01-18 06:00:00,2026-01-18 16:00:00
S0106,OP002,EXC002,2026-01-18 18:00:00,2026-01-19 04:00:00
S0107,OP003,LOD001,2026-01-18 06:00:00,2026-01-18 16:00:00
S0108,OP004,DOZ001,2026-01-18 18:00:00,2026-01-19 04:00:00
S0109,OP005,EXC001,2026-01-19 06:00:00,2026-01-19 16:00:00
S0110,OP006,EXC002,2026-01-19 18:00:00,2026-01-20 04:00:00
S0111,OP007,LOD001,2026-01-19 06:00:00,2026-01-19 16:00:00
S0112,OP008,DOZ001,2026-01-19 18:00:00,2026-01-20 04:00:00
S0113,OP001,EXC001,2026-01-19 06:00:00,2026-01-19 16:00:00
S0114,OP002,EXC002,2026-01-19 18:00:00,2026-01-20 04:00:00
S0115,OP003,LOD001,2026-01-20 06:00:00,2026-01-20 16:00:00
S0116,OP004,DOZ001,2026-01-20 18:00:00,2026-01-21 04:00:00
S0117,OP005,EXC001,2026-01-20 06:00:00,2026-01-20 16:00:00
S0118,OP006,EXC002,2026-01-20 18:00:00,2026-01-21 04:00:00
S0119,OP007,LOD001,2026-01-20 06:00:00,2026-01-20 16:00:00
S0120,OP008,DOZ001,2026-01-20 18:00:00,2026-01-21 04:00:00
S0121,OP001,EXC001,2026-01-21 06:00:00,2026-01-21 16:00:00
S0122,OP002,EXC002,2026-01-21 18:00:00,2026-01-22 04:00:00
S0123,OP003,LOD001,2026-01-21 06:00:00,2026-01-21 16:00:00
S0124,OP004,DOZ001,2026-01-21 18:00:00,2026-01-22 04:00:00
S0125,OP005,EXC001,2026-01-21 06:00:00,2026-01-21 16:00:00
S0126,OP006,EXC002,2026-01-21 18:00:00,2026-01-22 04:00:00
S0127,OP007,LOD001,2026-01-22 06:00:00,2026-01-22 16:00:00
S0128,OP008,DOZ001,2026-01-22 18:00:00,2026-01-23 04:00:00
S0129,OP001,EXC001,2026-01-22 06:00:00,2026-01-22 16:00:00
S0130,OP002,EXC002,2026-01-22 18:00:00,2026-01-23 04:00:00
S0131,OP003,LOD001,2026-01-22 06:00:00,2026-01-22 16:00:00
S0132,OP004,DOZ001,2026-01-22 18:00:00,2026-01-23 04:00:00
S0133,OP005,EXC001,2026-01-23 06:00:00,2026-01-23 16:00:00
S0134,OP006,EXC002,2026-01-23 18:00:00,2026-01-24 04:00:00
S0135,OP007,LOD001,2026-01-23 06:00:00,2026-01-23 16:00:00
S0136,OP008,DOZ001,2026-01-23 18:00:00,2026-01-24 04:00:00
S0137,OP001,EXC001,2026-01-23 06:00:00,2026-01-23 16:00:00
S0138,OP002,EXC002,2026-01-23 18:00:00,2026-01-24 04:00:00
S0139,OP003,LOD001,2026-01-24 06:00:00,2026-01-24 16:00:00
S0140,OP004,DOZ001,2026-01-24 18:00:00,2026-01-25 04:00:00
S0141,OP005,EXC001,2026-01-24 06:00:00,2026-01-24 16:00:00
S0142,OP006,EXC002,2026-01-24 18:00:00,2026-01-25 04:00:00
S0143,OP007,LOD001,2026-01-24 06:00:00,2026-01-24 16:00:00
S0144,OP008,DOZ001,2026-01-24 18:00:00,2026-01-25 04:00:00
S0145,OP001,EXC001,2026-01-25 06:00:00,2026-01-25 16:00:00
S0146,OP002,EXC002,2026-01-25 18:00:00,2026-01-26 04:00:00
S0147,OP003,LOD001,2026-01-25 06:00:00,2026-01-25 16:00:00
S0148,OP004,DOZ001,2026-01-25 18:00:00,2026-01-26 04:00:00
S0149,OP005,EXC001,2026-01-25 06:00:00,2026-01-25 16:00:00
S0150,OP006,EXC002,2026-01-25 18:00:00,2026-01-26 04:00:00
S0151,OP007,LOD001,2026-01-26 06:00:00,2026-01-26 16:00:00
S0152,OP008,DOZ001,2026-01-26 18:00:00,2026-01-27 04:00:00
S0153,OP001,EXC001,2026-01-26 06:00:00,2026-01-26 16:00:00
S0154,OP002,EXC002,2026-01-26 18:00:00,2026-01-27 04:00:00
S0155,OP003,LOD001,2026-01-26 06:00:00,2026-01-26 16:00:00
S0156,OP004,DOZ001,2026-01-26 18:00:00,2026-01-27 04:00:00
S0157,OP005,EXC001,2026-01-27 06:00:00,2026-01-27 16:00:00
S0158,OP006,EXC002,2026-01-27 18:00:00,2026-01-28 04:00:00
S0159,OP007,LOD001,2026-01-27 06:00:00,2026-01-27 16:00:00
S0160,OP008,DOZ001,2026-01-27 18:00:00,2026-01-28 04:00:00
S0161,OP001,EXC001,2026-01-27 06:00:00,2026-01-27 16:00:00
S0162,OP002,EXC002,2026-01-27 18:00:00,2026-01-28 04:00:00
S0163,OP003,LOD001,2026-01-28 06:00:00,2026-01-28 16:00:00
S0164,OP004,DOZ001,2026-01-28 18:00:00,2026-01-29 04:00:00
S0165,OP005,EXC001,2026-01-28 06:00:00,2026-01-28 16:00:00
S0166,OP006,EXC002,2026-01-28 18:00:00,2026-01-29 04:00:00
S0167,OP007,LOD001,2026-01-28 06:00:00,2026-01-28 16:00:00
S0168,OP008,DOZ001,2026-01-28 18:00:00,2026-01-29 04:00:00
S0169,OP001,EXC001,2026-01-29 06:00:00,2026-01-29 16:00:00
S0170,OP002,EXC002,2026-01-29 18:00:00,2026-01-30 04:00:00
S0171,OP003,LOD001,2026-01-29 06:00:00,2026-01-29 16:00:00
S0172,OP004,DOZ001,2026-01-29 18:00:00,2026-01-30 04:00:00
S0173,OP005,EXC001,2026-01-29 06:00:00,2026-01-29 16:00:00
S0174,OP006,EXC002,2026-01-29 18:00:00,2026-01-30 04:00:00
S0175,OP007,LOD001,2026-01-30 06:00:00,2026-01-30 16:00:00
S0176,OP008,DOZ001,2026-01-30 18:00:00,2026-01-31 04:00:00
S0177,OP001,EXC001,2026-01-30 06:00:00,2026-01-30 16:00:00
S0178,OP002,EXC002,2026-01-30 18:00:00,2026-01-31 04:00:00
S0179,OP003,LOD001,2026-01-30 06:00:00,2026-01-30 16:00:00
S0180,OP004,DOZ001,2026-01-30 18:00:00,2026-01-31 04:00:00
